date,score,content
2025년 11월 27일,5,편의점 주문을 새벽시간대에도 가능하게 만들었으면 주문배송에 문제가 생겼을 때 상담센터 연결도 새벽에 언제든지 가능하게 만들어놔야 하는데 황당하게도 새벽 1시부터 9시 사이에는 무슨 문제가 생기든 무조건 문의 자체가 불가능하게 만들어져 있네요. 이것 때문에 새벽 1시에 주문된걸 아침 9시 넘어서까지 기다려야 하는 어처구니 없는 일이 벌어집니다.
2025년 11월 20일,5,"사장님이 배민에서 지역 설정을 업데이트 하면서 기존에 배달 주문 가능하던 곳도 안 되게 바꼈다는데 사실인가요? 실제로 제가 배달 주문 시켰던 곳 모두 검색도 안 됩니다. 가게 근처로 바꾸고 검색했더니 제가 주문하려는 가게가 나오던데 메뉴 고르고 주소지 바꿨더니 주문 안 되네요. 아 진짜 너무 화나서 배민 안씁니다. 배민클럽도 잘 사용 중이었는데 안 쓰려고요 이제. 사장님 말씀이 사실인지는 모르겠지만 뭐가 됐든 안 써요. (+) 아이 ㅡㅡ 배민클럽 해지가 왜 바로 안 돼요. 이거 때문에 11월20일까지 기다렸다 회원 탈퇴 해야하잖아요. 아나 다 맘에 안들어요 정말. 하... (+)(+) 답글 주셨는데 우선 고생 많으십니다. 이런 개선같지도 않은 개선을 결정한 윗선이 있겠죠. 무튼 거리 멀어도 사장님들 알아서 잘 해주셨고, 배달도 거리가 있으니 그거 감안하고 받았습니다. 왜 지레짐작해서 이 사단을 만드셨나요. 어쨋든 오늘이 11월 20일이라 저는 탈퇴 합니다."
2025년 11월 26일,5,진짜 최악. 결코 싸지 않은 배달비를 내면서도 한시간 가까이 기다려야 하는것도 의아하지만 매번 음식 조리는 금방 끝나는데 배차에만 한시간~한시간 반이 걸림. 배달 시키는 이유가 즉석에서 요리된 음식을 먹으려고 하는 이유가 큰데 매번 다 식고 불어터져서 전자렌지에 돌린 상태의 음식을 받는게 어이가 없다. 다신 이용 안함
2025년 11월 15일,5,앱이 업데이트될때마다 UI나 주문하기가 너무 번잡하고 광고팝업창도 너무너무 많이뜨고 광고 수익내시려는건 알겠는데 주문하는 소비자 입장에서 초기의 배민으로좀 돌아가주세요. 요즘 대구로나 땡겨요 이런곳이 주문하기 훨씬 편안합니다. 1위에 안주하지마시고 초심으로 배달앱의 본질을 잃지마세요 배민주문 갈수록하기 싫어집니다
2025년 12월 2일,5,리뷰 안남기려고 했는데... 왜 배차 시스템때문에 내가 손해를 봐야하지? 음식은 진작에 조리 완료됬는데 1시간째 픽업도 안해가는건 진짜 욕밖에 안나오는데 일부러 그러는건가? 이게 한 두번이야 참지 시킬때마다 이러면 어쩌라는거임? 알뜰배달을 시키든 한집 배달을 시키든 시간차이도 없고 애초에 픽업하는데 1시간 넘게 걸릴거면 배달어플을 왜쓰는건데 그냥 배달의 민족은 이제부터 믿고 거른다 한두번도 아니고 시킬때마다 2시간씩 걸리는거면 왜 시켜야함? 진짜 제발 망했으면 좋겠다
2025년 12월 5일,5,배민 걍 배짱 장사 하는듯 다신 안이용함. 주문 하자마자 가게에서는 전화와서 배차가 좀 늦을수 있다 해서 그래봤자 좀 늦을 거라 생각하고 그러려니 했음 근데 배민 기사가 배정이 안되서 튀김류인데 30분째 픽업이 안됨 배달 어플로 수수료 받아먹으면 적어도 이런건 결제전에 공지 하던가. 그와중에 문의하려고 보니 전화도. 앱내 채팅 문의더 상담사 문의가 디 막혀있음 적어도 문의만 제대로 됬음 여기다 글쓰진 않았을 건데 걍 아몰루 우린 수수료먹음 꿀꺽. 하고 문제는 아몰랑 알아서 하셈 하고 무시하는거 같음 배민 밑고 오래썻는데 걍 지움
2025년 10월 25일,5,주문시간 지연되서 취소요청하면 전 매장 똑같이 출발했다거나 확인시간지연으로 버티다가 배달시작함. 제시간에 못맞출꺼 같으면 주문 받지나 말던가 출근해서 매번 제시간에 밥을 못먹음. 해당 식당 잘못이라고만 하지말고 이런 어플을 운영하면 배민에서 관리를 좀 해야된다고 생각함. 추후에도 계속 반복되면 어플 삭제하고 ㅋㅍㅇㅊ로 갈아타야겠음. 이번에 매출순위도 역전 당했더만 다 이유가 있는거임.
2025년 11월 10일,5,어플 편의성이 많이 안좋다고 생각됩니다.. 상품권을 선물받았는데 결제하는 과정에서 사용할 수 있는 버튼을 결제수단도 아닌 할인쿠폰 탭에 조그맣게 넣어놨네요.. 덕분에 3만원짜리 쿠폰 놔두고 결제 쌩돈으로 다하고 이미 도착할 시간 다되어서 취소도 못하고 도대체 어디 있나 한참 찾다가 이제 창을 발견했습니다.. 그냥 결제 더 하게끔 유도당했다는 생각마저 드네요.. 이런 상품권은 되도록 결제창에서 먼저 사용할 수 있게 잘 보이게끔 표기를 하던지 아니면 상품권을 선택한 뒤에 주문을 할 수 있게끔 어플 개선이 필요할 것 같습니다.. 기분 좋게 선물받은 쿠폰 쓸려다가 제 돈만 쓰고 쿠폰은 그대로 남고 상당이 불쾌하네요..
2025년 11월 28일,5,"카카오페이 결제하는 부분에서 결제화면으로 돌아가서 직접 결제하기 뜨고는 다음으로 안넘어가는경우가 간혹 있는데 자동으로 좀 결제 될 수 있게 해주세요, 주문된줄알고 기다리고있으면 결제자체가 안되서 주문이 안되어있을때가 많아요"
2025년 11월 23일,5,엊그제? 부터 앱자체가 안열려요. 달달이 요금도 내면서 쓰는데 앱자체가 안열리고 죽어버리네요. 재설치해도 마찬가지에요 갤럭시 s25입니다 다른 폰으로 로그인후 실행하니 로그아웃상태로 실행되었습니다. 자동로그인과정에서 죽었던거같습니다
